unix,price,signal,pnl
2016-07-30 08:16:00,655.41,-43,-0.0
2016-07-30 08:17:00,655.41,-44,-0.0
2016-07-30 08:18:00,655.41,-45,-0.0
2016-07-30 08:19:00,655.41,-46,-0.0
2016-07-30 08:20:00,656.5,-47,-0.0781648128652
2016-07-30 08:21:00,656.5,-48,-0.0
2016-07-30 08:22:00,656.5,-48,-0.0
2016-07-30 08:23:00,656.5,-48,-0.0
2016-07-30 08:24:00,656.5,-48,-0.0
2016-07-30 08:25:00,656.5,-48,-0.0
2016-07-30 08:26:00,656.5,-48,-0.0
2016-07-30 08:27:00,656.5,-48,-0.0
2016-07-30 08:28:00,656.5,-48,-0.0
2016-07-30 08:29:00,655.86,-48,0.0467936024372
2016-07-30 08:30:00,655.86,-48,-0.0
2016-07-30 08:31:00,656.5,-49,-0.0478150824871
2016-07-30 08:32:00,656.5,-50,-0.0
2016-07-30 08:33:00,656.5,-50,-0.0
2016-07-30 08:34:00,656.5,-50,-0.0
2016-07-30 08:35:00,656.5,-50,-0.0
2016-07-30 08:36:00,656.5,-50,-0.0
2016-07-30 08:37:00,656.5,-50,-0.0
2016-07-30 08:38:00,656.5,-50,-0.0
2016-07-30 08:39:00,656.5,-50,-0.0
2016-07-30 08:40:00,656.5,-50,-0.0
2016-07-30 08:41:00,656.5,-50,-0.0
2016-07-30 08:42:00,655.55,-50,0.0723533891851
2016-07-30 08:43:00,655.55,-50,-0.0
2016-07-30 08:44:00,655.55,-51,-0.0
2016-07-30 08:45:00,655.55,-52,-0.0
2016-07-30 08:46:00,655.55,-53,-0.0
2016-07-30 08:47:00,656.5,-54,-0.0782549004653
2016-07-30 08:48:00,656.5,-55,-0.0
2016-07-30 08:49:00,656.5,-55,-0.0
2016-07-30 08:50:00,656.5,-55,-0.0
2016-07-30 08:51:00,655.45,-55,0.0879664889566
2016-07-30 08:52:00,655.45,-55,-0.0
2016-07-30 08:53:00,656.5,-56,-0.0897093599817
2016-07-30 08:54:00,655.51,-57,0.0859558263519
2016-07-30 08:55:00,655.51,-57,-0.0
2016-07-30 08:56:00,656.5,-58,-0.0875959176824
2016-07-30 08:57:00,656.5,-59,-0.0
2016-07-30 08:58:00,656.5,-59,-0.0
2016-07-30 08:59:00,656.5,-59,-0.0
2016-07-30 09:00:00,656.5,-59,-0.0
2016-07-30 09:01:00,656.5,-59,-0.0
2016-07-30 09:02:00,656.5,-59,-0.0
2016-07-30 09:03:00,656.11,-59,0.0350495049505
2016-07-30 09:04:00,656.97,-59,-0.0773345932847
2016-07-30 09:05:00,656.04,-60,0.0849353851774
2016-07-30 09:06:00,656.81,-60,-0.0704225352113
2016-07-30 09:07:00,656.51,-61,0.0278619387646
2016-07-30 09:08:00,654.99,-61,0.141231664407
2016-07-30 09:09:00,655.0,-61,-0.000931311928421
2016-07-30 09:10:00,656.15,-62,-0.108854961832
2016-07-30 09:11:00,656.15,-63,-0.0
2016-07-30 09:12:00,655.49,-64,0.0643755238894
2016-07-30 09:13:00,655.49,-65,-0.0
2016-07-30 09:14:00,655.49,-66,-0.0
2016-07-30 09:15:00,656.62,-67,-0.115501380647
2016-07-30 09:16:00,656.29,-68,0.0341750175139
2016-07-30 09:17:00,656.29,-68,-0.0
2016-07-30 09:18:00,656.37,-68,-0.0082890185741
2016-07-30 09:19:00,656.37,-68,-0.0
2016-07-30 09:20:00,656.37,-68,-0.0
2016-07-30 09:21:00,656.68,-68,-0.032116032116
2016-07-30 09:22:00,656.54,-68,0.0144971675702
2016-07-30 09:23:00,656.54,-68,-0.0
2016-07-30 09:24:00,656.69,-68,-0.0155359917141
2016-07-30 09:25:00,656.69,-68,-0.0
2016-07-30 09:26:00,656.69,-68,-0.0
2016-07-30 09:27:00,656.98,-68,-0.0300293898186
2016-07-30 09:28:00,656.72,-68,0.0269110170781
2016-07-30 09:29:00,656.72,-68,-0.0
2016-07-30 09:30:00,656.72,-68,-0.0
2016-07-30 09:31:00,656.72,-68,-0.0
2016-07-30 09:32:00,656.72,-68,-0.0
2016-07-30 09:33:00,656.72,-68,-0.0
2016-07-30 09:34:00,656.72,-68,-0.0
2016-07-30 09:35:00,656.72,-68,-0.0
2016-07-30 09:36:00,656.72,-68,-0.0
2016-07-30 09:37:00,656.71,-68,0.00103544889755
2016-07-30 09:38:00,656.52,-68,0.0196738286306
2016-07-30 09:39:00,656.29,-68,0.0238225796625
2016-07-30 09:40:00,656.27,-68,0.00207225464352
2016-07-30 09:41:00,656.27,-68,-0.0
2016-07-30 09:42:00,656.27,-68,-0.0
2016-07-30 09:43:00,656.36,-68,-0.00932543008214
2016-07-30 09:44:00,656.36,-68,-0.0
2016-07-30 09:45:00,656.36,-68,-0.0
2016-07-30 09:46:00,656.08,-68,0.0290084709611
2016-07-30 09:47:00,656.08,-68,-0.0
2016-07-30 09:48:00,656.08,-69,-0.0
2016-07-30 09:49:00,656.68,-70,-0.0640165833435
2016-07-30 09:50:00,656.68,-71,-0.0
2016-07-30 09:51:00,656.68,-71,-0.0
2016-07-30 09:52:00,656.42,-71,0.0281111043431
2016-07-30 09:53:00,656.69,-71,-0.0292038633802
2016-07-30 09:54:00,656.69,-71,-0.0
2016-07-30 09:55:00,656.69,-71,-0.0
2016-07-30 09:56:00,656.69,-71,-0.0
2016-07-30 09:57:00,656.69,-71,-0.0
2016-07-30 09:58:00,656.69,-71,-0.0
2016-07-30 09:59:00,656.48,-71,0.0227047769876
2016-07-30 10:00:00,656.7,-71,-0.0237935656836
2016-07-30 10:01:00,657.2,-71,-0.0540581696361
2016-07-30 10:02:00,657.05,-71,0.0162051125989
2016-07-30 10:03:00,656.8,-71,0.0270146868579
2016-07-30 10:04:00,656.87,-71,-0.00756699147383
2016-07-30 10:05:00,656.85,-71,0.00216176716854
2016-07-30 10:06:00,657.0,-71,-0.0162137474309
2016-07-30 10:07:00,657.0,-71,-0.0
2016-07-30 10:08:00,657.0,-71,-0.0
2016-07-30 10:09:00,657.0,-71,-0.0
2016-07-30 10:10:00,657.1,-71,-0.0108066971081
2016-07-30 10:11:00,657.6,-71,-0.0540252625171
2016-07-30 10:12:00,657.24,-71,0.0388686131387
2016-07-30 10:13:00,657.24,-71,-0.0
2016-07-30 10:14:00,657.24,-71,-0.0
2016-07-30 10:15:00,657.72,-71,-0.0518532043089
2016-07-30 10:16:00,657.88,-71,-0.0172717873867
2016-07-30 10:17:00,657.88,-71,-0.0
2016-07-30 10:18:00,657.86,-71,0.00215844834924
2016-07-30 10:19:00,657.87,-71,-0.00107925698477
2016-07-30 10:20:00,657.87,-71,-0.0
2016-07-30 10:21:00,657.87,-71,-0.0
2016-07-30 10:22:00,657.87,-71,-0.0
2016-07-30 10:23:00,657.87,-71,-0.0
2016-07-30 10:24:00,657.87,-71,-0.0
2016-07-30 10:25:00,657.87,-71,-0.0
2016-07-30 10:26:00,656.95,-71,0.099290133309
